IDStoreControl,IDMarketer,Date,NoApod,Incam
517,879,"03/14/06 00:00:00",349,827.0000
518,880,"03/14/06 00:00:00",506,1012.4500
519,890,"03/15/06 00:00:00",231,394.3000
520,879,"03/15/06 00:00:00",338,1141.3000
521,880,"03/15/06 00:00:00",514,990.1000
522,890,"03/16/06 00:00:00",225,432.8000
523,879,"03/16/06 00:00:00",315,1021.3000
524,880,"03/16/06 00:00:00",523,1082.8000
525,879,"03/17/06 00:00:00",329,1159.0000
526,890,"03/17/06 00:00:00",258,446.4000
527,880,"03/17/06 00:00:00",529,1149.7500
528,890,"03/18/06 00:00:00",280,664.9000
529,879,"03/18/06 00:00:00",410,1270.0000
530,880,"03/18/06 00:00:00",541,1465.3000
531,890,"03/20/06 00:00:00",235,420.8000
532,879,"03/20/06 00:00:00",,1073.7500
533,880,"03/20/06 00:00:00",539,1045.8600
534,890,"03/21/06 00:00:00",245,449.9500
535,880,"03/21/06 00:00:00",510,981.7000
536,879,"03/21/06 00:00:00",688,1078.1000
537,890,"03/22/06 00:00:00",226,400.8500
538,880,"03/22/06 00:00:00",545,1150.7500
539,879,"03/22/06 00:00:00",361,892.0000
540,890,"03/23/06 00:00:00",232,437.3500
541,879,"03/23/06 00:00:00",368,1149.8000
542,880,"03/23/06 00:00:00",537,1062.5200
543,890,"03/24/06 00:00:00",337,887.2000
544,880,"03/24/06 00:00:00",674,1758.0000
545,879,"03/24/06 00:00:00",482,1646.0000
546,890,"03/27/06 00:00:00",235,426.6500
547,879,"03/27/06 00:00:00",374,1110.5000
548,880,"03/27/06 00:00:00",496,1025.0000
549,880,"03/28/06 00:00:00",483,950.3500
550,890,"03/28/06 00:00:00",207,361.0000
551,879,"03/28/06 00:00:00",380,846.0000
552,890,"03/29/06 00:00:00",240,492.0000
553,879,"03/29/06 00:00:00",382,1091.7000
554,880,"03/29/06 00:00:00",503,977.1500
555,890,"03/30/06 00:00:00",214,386.0000
556,879,"03/30/06 00:00:00",349,859.5200
557,880,"03/30/06 00:00:00",507,1027.9400
558,879,"03/31/06 00:00:00",377,972.0000
559,890,"03/31/06 00:00:00",244,429.0000
560,880,"03/31/06 00:00:00",531,1119.2000
561,879,"04/01/06 00:00:00",442,1283.1000
562,890,"04/01/06 00:00:00",272,646.9000
563,880,"04/01/06 00:00:00",764,1966.0600
564,880,"04/03/06 00:00:00",478,986.3000
565,890,"04/03/06 00:00:00",216,390.3000
566,879,"04/03/06 00:00:00",362,895.0000
567,890,"04/04/06 00:00:00",242,523.9000
568,879,"04/04/06 00:00:00",362,1039.2000
569,880,"04/04/06 00:00:00",514,932.9500
570,879,"04/05/06 00:00:00",356,1142.0500
571,890,"04/05/06 00:00:00",267,476.5000
