IDC_FASH,IDSort,IDOperation,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7139,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7140,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7140,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7142,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7142,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7143,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7143,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7144,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7144,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7145,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7145,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7146,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7146,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7147,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7147,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7148,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7148,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7149,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7149,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7150,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7150,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7151,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7151,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7152,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7152,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7153,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7153,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7154,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7154,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7155,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7155,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7156,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7156,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7157,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7157,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7158,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7158,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7159,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7159,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7160,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7160,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7161,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7161,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7162,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7162,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7163,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7163,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7164,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7164,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7165,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7165,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7166,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
